File ID,Ticker Symbol,Country by Ticker,UN Defined,Major Dialect Family,Language Family + Area Based,File Length (seconds),Sampling Rate (Hz),Region
4464164,ENIC,Chile,Latin America and Caribbean,Other,Spanish/Portuguese,2880,16000,Spanish_Portuguese
4470570,SQM,Chile,Latin America and Caribbean,Other,Spanish/Portuguese,2048,24000,Spanish_Portuguese
4472895,QH,China,Eastern and South-Eastern Asia,Other,Asian,1490,24000,Asian
4473238,RLX,China,Eastern and South-Eastern Asia,Other,Asian,2430,24000,Asian
4474955,QD,China,Eastern and South-Eastern Asia,Other,Asian,875,24000,Asian
4475486,TCOM,China,Eastern and South-Eastern Asia,Other,Asian,2542,24000,Asian
4479524,TC,China,Eastern and South-Eastern Asia,Other,Asian,1226,24000,Asian
4448760,AVAL,Colombia,Latin America and Caribbean,Other,Spanish/Portuguese,3660,24000,Spanish_Portuguese
4466718,CIB,Colombia,Latin America and Caribbean,Other,Spanish/Portuguese,5176,24000,Spanish_Portuguese
4467071,TGLS,Colombia,Latin America and Caribbean,Other,Spanish/Portuguese,2667,22050,Spanish_Portuguese
4468307,EC,Colombia,Latin America and Caribbean,Other,Spanish/Portuguese,4318,24000,Spanish_Portuguese
4469208,CMTOY,Colombia,Latin America and Caribbean,Other,Spanish/Portuguese,3099,44100,Spanish_Portuguese
4479741,CHYHY,Denmark,Europe and Northern America,Other,Germanic,3665,24000,Germanic
4483297,NVZMF,Denmark,Europe and Northern America,Other,Germanic,3700,24000,Germanic
4483733,DNNGY,Denmark,Europe and Northern America,Other,Germanic,3589,24000,Germanic
4466607,LGRVF,France,Europe and Northern America,Other,Other Romance,5180,24000,Other_Romance
4468000,ALSMY,France,Europe and Northern America,Other,Other Romance,3692,16000,Other_Romance
4482311,LVMHF,France,Europe and Northern America,Other,Other Romance,5243,24000,Other_Romance
4484088,PUBGY,France,Europe and Northern America,Other,Other Romance,6576,24000,Other_Romance
4484146,DASTY,France,Europe and Northern America,Other,Other Romance,4153,24000,Other_Romance
4484563,SNY,France,Europe and Northern America,Other,Other Romance,5325,16000,Other_Romance
4482249,SARTF,Germany,Europe and Northern America,Other,Germanic,5226,44100,Germanic
4483589,TMVWF,Germany,Europe and Northern America,Other,Germanic,4979,24000,Germanic
4483857,SEMHF,Germany,Europe and Northern America,Other,Germanic,4292,24000,Germanic
4483912,IFNNY,Germany,Europe and Northern America,Other,Germanic,4033,24000,Germanic
4484942,AIAGF,Germany,Europe and Northern America,Other,Germanic,3192,16000,Germanic
2020-03-0230487MTN-Ghana-2019-Annual-Results-Call,MTNGH,Ghana,Sub-Saharan Africa,Other,African,3057,16000,African
2020-Annual-Results-Call-Recording,MTNGH,Ghana,Sub-Saharan Africa,Other,African,4385,16000,African
MTN-Ghana-2021-Third-Quarter-Results-Call,MTNGH,Ghana,Sub-Saharan Africa,Other,African,3900,16000,African
mtngh_fy18_call_audio_04032019,MTNGH,Ghana,Sub-Saharan Africa,Other,African,3076,16000,African
4482110,GLOP,Greece,Europe and Northern America,Other,Other Romance,1398,22050,Other_Romance
4483670,CPLP,Greece,Europe and Northern America,Other,Other Romance,2243,22050,Other_Romance
4479944,HDB,India,Central and Southern Asia,Other,Asian,3892,44100,Asian
4481221,SIFY,India,Central and Southern Asia,Other,Asian,1236,24000,Asian
4481552,MMYT,India,Central and Southern Asia,Other,Asian,3840,24000,Asian
4482569,RDY,India,Central and Southern Asia,Other,Asian,3483,24000,Asian
4482613,VEDL,India,Central and Southern Asia,Other,Asian,4022,22050,Asian
4351517,TLK,Indonesia,Eastern and South-Eastern Asia,Other,Asian,3293,24000,Asian
4426736,TLK,Indonesia,Eastern and South-Eastern Asia,Other,Asian,2724,22050,Asian
4453076,TLK,Indonesia,Eastern and South-Eastern Asia,Other,Asian,3271,16000,Asian
4468647,ARZGF,Italy,Europe and Northern America,Other,Other Romance,2749,16000,Other_Romance
4468654,DSRLF,Italy,Europe and Northern America,Other,Other Romance,4277,24000,Other_Romance
4468678,PRYMF,Italy,Europe and Northern America,Other,Other Romance,5493,11025,Other_Romance
4468715,NEXPF,Italy,Europe and Northern America,Other,Other Romance,6269,11025,Other_Romance
4483633,RACE,Italy,Europe and Northern America,Other,Other Romance,3598,16000,Other_Romance
4469669,TOSBF,Japan,Eastern and South-Eastern Asia,Other,Asian,7407,44100,Asian
4470010,GMOYF,Japan,Eastern and South-Eastern Asia,Other,Asian,1743,16000,Asian
4481904,NJDCY,Japan,Eastern and South-Eastern Asia,Other,Asian,3668,24000,Asian
4482641,ATEYY,Japan,Eastern and South-Eastern Asia,Other,Asian,3168,16000,Asian
4483046,TTDKY,Japan,Eastern and South-Eastern Asia,Other,Asian,1187,22050,Asian
4483506,SONY,Japan,Eastern and South-Eastern Asia,Other,Asian,4516,22050,Asian
MP3-A,TRANSCO.LG,Nigeria,Sub-Saharan Africa,Other,African,3783,32000,African
4432298,OTGLF,Poland,Europe and Northern America,Other,Slavic,2643,16000,Slavic
4450488,KGHPF,Poland,Europe and Northern America,Other,Slavic,4321,22050,Slavic
4453085,OTGLF,Poland,Europe and Northern America,Other,Slavic,3586,24000,Slavic
4470253,KGHPF,Poland,Europe and Northern America,Other,Slavic,3819,24000,Slavic
4472403,OTGLF,Poland,Europe and Northern America,Other,Slavic,3545,16000,Slavic
4372696,EDPFY,Portugal,Europe and Northern America,Other,Spanish/Portuguese,3649,16000,Spanish_Portuguese
4443871,SOSSF,Portugal,Europe and Northern America,Other,Spanish/Portuguese,2644,8000,Spanish_Portuguese
4443920,JRONF,Portugal,Europe and Northern America,Other,Spanish/Portuguese,3391,22050,Spanish_Portuguese
4461799,GLPEF,Portugal,Europe and Northern America,Other,Spanish/Portuguese,4589,24000,Spanish_Portuguese
4468639,SOSSF,Portugal,Europe and Northern America,Other,Spanish/Portuguese,2569,24000,Spanish_Portuguese
4469291,ROSYY,Russia,Europe and Northern America,Other,Slavic,2023,22050,Slavic
4469590,HHR,Russia,Europe and Northern America,Other,Slavic,2703,24000,Slavic
4471586,OPYGY,Russia,Europe and Northern America,Other,Slavic,1259,24000,Slavic
4471809,LUKOY,Russia,Europe and Northern America,Other,Slavic,2189,24000,Slavic
4471961,RSHYY,Russia,Europe and Northern America,Other,Slavic,1695,22050,Slavic
4453225,APNHF,South Africa,Sub-Saharan Africa,Other,English,4307,16000,English
4467434,UEPS,South Africa,Sub-Saharan Africa,Other,English,2893,11025,English
4469075,LEAT,South Africa,Sub-Saharan Africa,Other,English,1621,16000,English
4469088,SPPJY,South Africa,Sub-Saharan Africa,Other,English,4634,44100,English
4420696,KB,South Korea,Eastern and South-Eastern Asia,Other,Asian,3556,24000,Asian
4430051,SKM,South Korea,Eastern and South-Eastern Asia,Other,Asian,3772,24000,Asian
4463693,LGEIY,South Korea,Eastern and South-Eastern Asia,Other,Asian,4125,16000,Asian
4481766,LPL,South Korea,Eastern and South-Eastern Asia,Other,Asian,4802,22050,Asian
4481967,SSNLF,South Korea,Eastern and South-Eastern Asia,Other,Asian,6217,22050,Asian
4463259,REPYY,Spain,Europe and Northern America,Other,Spanish/Portuguese,4471,22050,Spanish_Portuguese
4466797,EDRVF,Spain,Europe and Northern America,Other,Spanish/Portuguese,5610,24000,Spanish_Portuguese
4469184,MRPRF,Spain,Europe and Northern America,Other,Spanish/Portuguese,3552,24000,Spanish_Portuguese
4469836,TNISF,Spain,Europe and Northern America,Other,Spanish/Portuguese,3738,16000,Spanish_Portuguese
4482264,BNDSF,Spain,Europe and Northern America,Other,Spanish/Portuguese,4891,24000,Spanish_Portuguese
4482609,CAIXY,Spain,Europe and Northern America,Other,Spanish/Portuguese,5489,16000,Spanish_Portuguese
4480850,IVSXF,Sweden,Europe and Northern America,Other,Germanic,2677,24000,Germanic
4482682,SSAAF,Sweden,Europe and Northern America,Other,Germanic,4760,24000,Germanic
4483320,LNDNF,Sweden,Europe and Northern America,Other,Germanic,4429,44100,Germanic
4483338,TLTZF,Sweden,Europe and Northern America,Other,Germanic,4160,24000,Germanic
4452058,HEPS,Turkey,Northern Africa and Western Asia,Other,Asian,3152,16000,Asian
4466251,COCAL,Turkey,Northern Africa and Western Asia,Other,Asian,2683,11025,Asian
4466399,TKC,Turkey,Northern Africa and Western Asia,Other,Asian,3005,44100,Asian
4471606,HEPS,Turkey,Northern Africa and Western Asia,Other,Asian,3632,24000,Asian
4470684,IVTJF,UK,Europe and Northern America,British Isles,English,4696,24000,English
4473837,BCKIF,UK,Europe and Northern America,British Isles,English,2855,48000,English
4474229,VRSRF,UK,Europe and Northern America,British Isles,English,3083,24000,English
4474327,DITHF,UK,Europe and Northern America,British Isles,English,2940,24000,English
4475604,ARQQ,UK,Europe and Northern America,British Isles,English,1245,24000,English
4483937,RNSHF,UK,Europe and Northern America,British Isles,English,3654,24000,English
4462231,TXN,United States,Europe and Northern America,North American,English,2480,24000,English
4474506,COST,United States,Europe and Northern America,North American,English,3975,24000,English
4485192,EPC,United States,Europe and Northern America,North American,English,3692,24000,English
4485206,NRZ,United States,Europe and Northern America,North American,English,2842,16000,English
4485244,KKR,United States,Europe and Northern America,North American,English,3689,24000,English
